;total;procura pela polícia em decorrência do último roubo;procura pela polícia em decorrência do último roubo.1
               brasil;1.44;1.85;1.77
urbana;1.5;1.94;1.8
rural;9.87;9.22;12.64
norte;3.76;4.41;4.59
rondônia;10.72;12.17;15.37
acre;12.42;14.24;17.39
amazonas;9.07;11.39;10.35
roraima;16.04;17.48;21.78
pará;4.93;5.99;5.89
amapá;19.19;20.82;20.75
tocantins;14.64;18.59;17.33
nordeste;2.76;3.46;3.07
maranhão;16.9;18.54;18.88
piauí;10.96;15.94;13.36
ceará;3.78;5.31;4.36
rio grande do norte;7.72;8.91;12.1
paraíba;11.7;17.16;10.93
pernambuco;4.93;7.03;5.18
alagoas;9.41;14.16;9.86
sergipe;7.33;10.89;9.03
bahia;4.43;5.42;5.09
sudeste;2.42;3.23;3.09
minas gerais;4.33;5.43;5.95
espírito santo;8.47;12.03;10.48
rio de janeiro;4.76;6.59;5.88
são paulo;3.58;4.68;4.67
sul;3.53;4.46;4.84
paraná;5.42;7.51;6.74
santa catarina;14.81;15.44;23.35
rio grande do sul;4.28;5.26;6.7
centro-oeste;3.96;4.76;5.24
mato grosso do sul;13.33;16.34;17.88
mato grosso;9.45;11.76;13.09
goiás;6.49;7.54;8.37
